FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Households:,Median Household Income (In 2018 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units: Owner Occupied,Median Household Income Occupied Housing Units: Renter Occupied,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Black or African American Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Asian Alone,Median Household Income (In 2018 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Two or More Races Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino"
6037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",6,37,101110,4314,1596,53077,90038,35240,110,97,70,76,123,96,54,78,88,64,126,277,91,93,109,44,49596,,,77639,,57625,70625,53625,48860
6037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",6,37,101122,3239,1256,88953,101136,66939,52,18,0,15,39,38,7,40,23,62,186,232,114,105,133,192,88488,,,,,108409,,89257,87311
6037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",6,37,101210,6052,2321,32119,91477,29761,285,140,335,69,223,145,61,95,220,128,147,225,96,67,14,71,30713,,,,,40526,,32039,30944
6037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",6,37,101220,3497,1294,41728,78047,32220,65,104,160,56,22,133,60,118,123,53,75,88,110,45,43,39,39330,,,48375,,67778,,46393,39330
6037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",6,37,101300,4297,1435,86914,86953,,75,14,69,36,29,23,18,123,49,87,80,200,146,107,195,184,85938,,,118147,,,121563,187989,81786
6037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",6,37,101400,3851,1473,71125,93875,,20,82,68,146,86,47,14,47,27,88,134,156,166,136,179,77,67581,,,112269,,,137708,51026,68871
6037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",6,37,102103,1771,696,76333,86696,52321,20,22,30,8,20,35,37,16,18,51,83,118,107,48,47,36,75667,,,,,,122708,79167,75333
6037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",6,37,102104,3554,1270,70754,70933,,84,31,7,72,0,15,250,46,0,58,116,144,233,51,48,115,78816,,,,,,,39053,80114
6037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",6,37,102105,1857,563,52132,79423,47011,10,20,19,46,36,30,34,0,43,80,31,113,40,18,10,33,50944,,,88000,,62500,81250,50455,57083
6037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",6,37,102107,4333,1305,106037,125160,53625,22,7,29,98,49,7,15,54,15,113,109,78,148,170,275,116,106536,,,161250,,103571,,100982,107357
6037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",6,37,103101,2597,916,89211,96382,33250,25,40,43,42,16,25,40,38,4,58,89,94,87,144,94,77,89904,,,82500,,71429,,51389,94250
6037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",6,37,103102,4456,1568,74631,79353,28988,38,58,60,37,76,71,66,38,45,124,180,197,231,157,103,87,71699,,,105174,,66786,,72115,71154
6037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",6,37,103200,6726,2274,71346,96923,42218,27,125,115,164,172,120,11,119,23,93,210,196,384,231,115,169,70591,,,,,,,64545,75647
6037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",6,37,103300,3549,1225,93207,114531,75773,26,35,28,33,8,35,22,33,31,93,110,199,99,58,83,332,85978,,,158333,,,,,86250
6037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",6,37,103400,6662,2432,81618,99625,45199,92,107,82,122,163,104,62,74,58,82,135,302,314,261,268,206,80098,,,121750,,142667,,76799,83167
6037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",6,37,104103,3647,845,86989,98537,45244,7,27,0,20,29,28,56,52,73,29,47,152,137,97,42,49,97835,66500,,,,92813,,86818,122548
6037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",6,37,104105,6190,1673,52616,72432,26603,87,171,49,108,81,38,141,92,41,137,220,150,86,134,77,61,43125,63681,,94063,,46375,,42554,
6037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",6,37,104108,5420,1421,50259,78281,43205,86,79,35,52,142,46,82,117,66,132,121,164,117,92,72,18,47826,46607,,97500,,51829,,51951,25385
6037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",6,37,104124,4189,1260,84250,94962,50995,26,21,81,44,61,41,31,8,0,64,123,253,160,85,99,163,81071,84309,,,,97440,,75199,111071
6037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",6,37,104201,4424,919,51563,65167,39671,59,54,40,42,25,71,46,68,37,107,74,138,79,22,47,10,53690,24028,,,,54531,,54345,53672
6037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",6,37,104203,5541,1145,46406,73281,31563,53,100,43,123,63,12,126,48,48,142,66,93,61,43,101,23,41989,52857,,,,48828,28472,43194,
6037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",6,37,104204,3562,730,63333,82841,35288,18,39,29,48,56,23,93,30,0,25,59,93,94,60,44,19,79464,30938,,137500,,28611,71500,52109,80875
6037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",6,37,104310,5313,879,69904,66000,76250,14,11,54,22,44,26,55,61,27,51,112,101,128,62,66,45,65795,36094,,,,88083,73438,73750,64583
6037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",6,37,104320,5599,1326,52895,96213,29024,78,132,97,42,101,51,46,25,44,211,145,89,148,0,76,41,57042,,,10179,,53342,,55486,
6037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",6,37,104401,3452,689,69965,77344,32431,5,51,18,33,28,30,26,27,42,33,85,135,84,32,47,13,66136,,,,,75469,,69718,102708
6037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",6,37,104403,3279,665,55398,65250,38542,4,53,45,57,18,25,6,7,48,115,48,96,93,16,28,6,58095,,,125000,,48281,,54635,
6037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",6,37,104404,3128,658,55341,71250,42500,24,32,46,32,27,60,36,17,21,70,92,32,125,9,23,12,46786,,,,,63158,,53333,
6037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",6,37,104500,2950,610,60139,64044,31406,17,32,61,35,38,37,14,4,44,22,72,117,59,55,0,3,31250,,,,,64615,64375,61389,
6037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",6,37,104610,3504,729,60320,67875,26908,32,17,29,67,46,47,17,20,33,51,125,117,59,23,40,6,62045,,,,,53750,,60145,
6037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",6,37,104620,3684,711,62014,71250,45568,37,5,30,26,19,39,41,52,28,64,96,106,64,36,19,49,64583,,,,,46761,109167,61736,93750
6037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",6,37,104701,4325,949,32036,43500,28315,121,98,47,105,75,66,74,74,32,45,82,82,25,9,0,14,32098,10583,,,,36917,,33145,
6037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",6,37,104703,2311,603,39181,51897,35461,44,51,23,67,47,31,48,27,17,68,43,38,39,35,20,5,38017,,,,,50682,,39052,
6037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",6,37,104704,4331,1183,48581,51520,43676,20,37,104,70,135,30,26,116,87,67,72,220,88,30,43,38,43039,76806,,103250,,45132,,42598,91250
6037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",6,37,104810,5789,1076,74145,82788,39935,0,60,0,11,26,54,64,64,28,59,198,216,82,33,148,33,74016,,,,,88456,,74770,152824
6037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",6,37,104821,3361,750,68750,73656,41809,64,21,16,27,17,5,45,65,34,67,77,129,64,6,90,23,51723,,,115500,,73824,,56442,119375
6037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",6,37,104822,2748,610,55500,90417,29844,25,94,28,32,28,42,11,13,5,58,75,91,10,63,24,11,55250,,,,,59583,,57250,
6037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",6,37,106010,3108,945,71806,76429,56055,21,25,40,35,57,6,74,36,20,97,84,156,67,60,116,51,72604,,,46688,,99167,114375,61319,78250
6037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",6,37,106020,5807,1475,75038,81023,51020,50,0,58,32,56,17,108,10,86,143,177,223,184,66,222,43,72460,,,,,77188,92639,69629,83750
6037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",6,37,106111,4482,1326,93198,86875,94242,12,73,17,34,31,37,124,19,0,80,139,181,221,105,107,146,89861,,,120875,,,121429,94697,77083
6037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",6,37,106112,5885,1472,90875,108885,,16,7,87,16,48,37,20,49,59,65,143,224,148,252,196,105,89375,,,170652,,81591,131196,87730,106750
6037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",6,37,106113,3962,972,85156,102727,56346,17,5,11,28,18,29,48,18,24,121,99,135,89,67,185,78,78412,131553,,128125,,66538,,82946,66136
6037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",6,37,106114,6410,1592,54363,71250,44802,34,64,41,107,47,148,38,158,100,102,237,212,180,48,33,43,48205,53913,,105197,,66146,,51190,50000
6037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",6,37,106403,3431,809,62015,63454,49167,26,5,42,18,25,7,35,47,65,95,160,139,61,3,78,3,61658,,,,,75893,,62434,60568
6037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",6,37,106405,4813,1225,57807,83523,33636,101,31,57,104,155,31,9,28,34,109,168,156,124,21,37,60,46850,74474,,95769,,69091,,58420,
6037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",6,37,106406,5860,1645,77454,81048,66629,41,76,18,31,56,72,34,115,41,107,205,324,241,60,131,93,66919,,119597,95057,,71250,113721,77440,54536
6037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",6,37,106407,3272,891,37452,75417,28843,60,110,79,96,56,19,26,35,19,114,64,63,33,57,55,5,45208,17386,,54464,,23798,105083,50574,22692
6037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",6,37,106408,3817,961,49464,73487,47976,48,51,37,46,60,37,68,49,98,65,122,144,75,19,31,11,47558,,,100179,,51458,46250,48407,48958
6037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",6,37,106510,5347,1600,91983,104861,68913,46,69,0,23,44,98,49,39,73,103,192,79,279,237,213,56,102596,,,85577,,74397,,102740,91458
6037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",6,37,106520,5879,1440,63594,69375,61557,56,59,86,87,70,23,93,45,30,75,183,175,231,59,88,80,63464,,,,,60167,,62708,95313
6037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",6,37,106603,3222,969,114688,117333,97583,10,10,7,5,20,19,37,25,38,23,84,121,145,50,163,212,107171,,,123708,,,,156563,101944
6037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",6,37,106604,5143,1163,58028,80208,41719,65,34,102,43,48,66,72,81,0,106,106,125,133,34,90,58,51620,,,113839,,93000,,58444,
6037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",6,37,106641,2352,792,108333,113913,93500,18,9,7,6,21,17,29,0,13,41,88,99,124,35,75,210,113750,,,94625,,,73611,213125,112935
6037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",6,37,106642,3016,1025,106179,106214,92431,41,12,10,28,0,66,27,5,0,48,42,185,123,97,153,188,108000,144219,,106679,,86250,,86989,115673
6037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",6,37,106643,4599,1336,151875,161250,113526,0,20,6,0,11,17,23,6,44,68,46,164,85,169,257,420,150313,,,142196,,,250001,159375,147917
6037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",6,37,106645,3491,1142,110946,112432,,69,28,8,43,8,45,14,0,16,65,55,174,96,179,111,231,100441,,,126042,,,,92188,100221
6037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",6,37,106646,3439,969,105750,109148,45833,29,0,45,18,20,21,0,15,34,28,95,153,144,91,154,122,98889,148750,,116667,,126250,133750,108977,98611
6037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",6,37,106648,4569,1032,65278,88365,47250,41,54,38,41,67,50,17,18,62,103,89,211,60,68,89,24,70647,,,,,55250,,67679,67500
6037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",6,37,106649,2599,702,82841,93523,38482,7,28,26,17,18,20,18,38,45,32,80,104,74,62,75,58,60862,,,157188,,74896,138750,61198,106875
6037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",6,37,107010,3093,739,56375,70625,43250,22,36,10,26,48,25,37,74,60,40,69,151,82,26,25,8,50368,,,,,69375,109219,56000,48125
6037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",6,37,107020,5442,1250,81935,96806,68490,37,17,24,11,21,39,38,38,65,80,141,281,184,117,98,59,78611,,,100750,,98519,38472,80706,61250
6037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",6,37,108101,2417,765,141893,142125,140500,47,10,0,20,0,14,4,5,9,21,16,73,95,101,94,256,140455,,,142292,,,,141875,140500
6037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",6,37,108102,3677,1217,95592,96776,61786,54,47,25,22,23,30,48,11,56,43,113,205,124,108,150,158,95188,78750,,105227,,,,118472,87386
6037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",6,37,108103,3153,1050,159643,164032,105046,11,13,9,0,11,0,11,10,12,35,31,137,91,136,247,296,158929,,,137462,,,,164491,157976
6037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",6,37,108104,1922,570,130714,129643,136786,4,0,5,6,5,13,8,7,24,10,63,50,62,85,82,146,145208,,,99938,,,,112250,145417
6037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",6,37,108201,5501,1828,125000,125978,116950,8,0,0,31,19,0,43,77,14,115,153,155,299,224,285,405,131125,116500,,118456,,,,,126806
6037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",6,37,108202,7561,2772,108304,148659,49914,124,0,125,99,53,127,174,36,60,123,193,230,138,333,399,558,106597,156577,,89429,,,,,107708
6037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",6,37,109100,2738,777,59792,73281,,40,11,14,69,67,40,27,26,41,54,38,157,66,36,50,41,49268,,,,,86071,,72969,48607
6037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",6,37,109200,2995,950,112250,106063,114250,0,15,55,10,6,5,12,92,37,37,29,65,239,117,115,116,101250,,,119260,,113462,,115357,78571
6037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",6,37,109300,3247,914,84919,89167,71579,9,3,13,6,90,18,4,52,12,22,123,166,148,56,103,89,79500,,,113125,,105450,,83864,74891
6037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",6,37,109400,3959,1060,77273,80455,,64,33,27,92,62,49,42,41,17,31,42,176,165,75,112,32,40583,,,90893,,105530,,86936,34792
6037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",6,37,109500,4821,1030,44118,53365,24890,38,63,71,152,74,63,22,44,40,96,103,155,31,18,51,9,44375,,,,,60547,,44632,
6037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",6,37,109601,4938,1267,92545,91676,93839,25,10,6,26,25,26,8,100,7,42,185,262,203,172,120,50,91719,101094,,73409,,104271,,91932,96129
6037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",6,37,109603,4476,1303,53750,64432,33542,180,58,89,54,16,77,36,23,56,88,132,169,127,105,72,21,60240,,,75964,,40272,,49643,52391
6037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",6,37,109604,3088,904,88000,91923,63625,7,5,74,31,36,54,19,31,32,34,78,118,227,52,72,34,69750,,19653,101339,,103417,113929,96932,
6037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",6,37,109700,4568,1350,98605,99613,91731,23,54,38,32,32,26,7,31,11,54,107,308,186,195,203,43,95132,92308,,130673,,108125,,95694,98324
6037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",6,37,109800,5398,1445,96422,102422,61250,10,54,68,28,67,45,27,48,70,68,134,125,236,139,186,140,73750,,,106250,,118036,,111667,74643
6037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",6,37,111100,3128,948,86683,93088,74821,14,30,39,10,4,44,22,53,33,68,78,145,181,57,134,36,79934,74018,,111875,,85625,153281,86184,80938
6037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",6,37,111201,3485,1128,85034,86944,61042,7,43,23,47,45,52,36,0,72,40,108,202,126,61,159,107,86989,,,81058,,68333,,68417,88750
6037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",6,37,111202,5329,1657,80521,92554,58056,33,17,45,67,117,50,47,64,110,97,97,236,192,245,143,97,67837,,,137955,,80139,123750,81250,56694
6037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",6,37,111204,6153,1966,150192,151298,,15,0,23,26,19,53,44,19,15,52,137,187,192,199,431,554,140000,158491,,182683,,161250,133942,179886,135385
6037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",6,37,111205,4064,1314,76968,85192,71912,18,16,17,40,11,22,77,33,29,173,184,161,120,104,155,154,83553,58696,,84773,,110385,,110737,76563
6037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",6,37,111206,4382,1517,114861,118750,96379,17,59,25,7,62,31,55,51,29,46,164,120,118,119,275,339,113333,,,126500,,,,227647,100750
6037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",6,37,111301,7151,2689,68456,81293,60368,224,122,141,99,78,75,45,82,113,229,305,495,363,150,82,86,71250,,,83371,,65896,62569,70690,57321
6037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",6,37,111302,5325,1817,66850,98393,46071,149,30,52,129,29,86,78,77,42,133,172,226,122,165,170,157,66181,51250,,110167,,,108889,53333,73017
6037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",6,37,111400,8066,2878,59875,120568,41792,293,89,68,212,182,80,93,144,78,203,430,261,148,143,279,175,53295,69656,,53674,,68553,53333,62401,51513
6037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",6,37,113101,3699,1091,105781,105313,107841,40,25,35,8,8,29,16,0,50,23,178,77,165,110,253,74,106406,,,103571,,112125,,102212,114531
6037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",6,37,113102,2928,972,138333,148125,,46,10,18,0,12,4,23,4,8,68,41,76,124,73,117,348,129688,171250,,208884,,,,158250,128750
6037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",6,37,113211,3929,1607,93009,104250,83594,61,51,9,17,63,51,22,11,78,106,70,311,146,73,217,321,93333,,,76389,,,,124138,91250
6037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",6,37,113212,3272,1088,79009,117500,48952,79,20,10,50,39,36,17,43,52,42,104,146,124,36,170,120,78211,,,123674,,,,66750,78599
6037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",6,37,113213,5059,1684,84274,97095,73889,23,63,17,68,22,69,16,64,46,108,108,430,125,175,126,224,83902,,,104907,,80938,44929,82986,83397
6037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",6,37,113231,2424,837,105208,106111,76563,20,0,22,17,42,24,24,23,27,49,71,90,104,127,73,124,108438,,,116500,,25833,58819,,106806
6037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",6,37,113232,4358,1390,112105,115595,104333,9,0,20,31,19,0,0,20,59,91,112,191,185,160,173,320,121528,,,,,69205,,92386,120139
6037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",6,37,113233,7624,2508,47500,70625,45154,206,132,98,96,273,71,169,110,215,190,285,349,129,41,67,77,38792,,,66307,,49110,,48716,35365
6037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",6,37,113234,4818,1525,56375,69881,52644,67,119,54,98,84,81,84,32,24,195,200,226,118,21,43,79,56042,,,81375,,52521,,55521,42188
6037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",6,37,113235,1834,712,88750,99737,74063,16,5,42,18,17,14,22,19,6,84,62,109,39,103,94,62,92500,,,103000,,,,55221,93750
6037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",6,37,113237,4145,1435,82821,131389,43568,48,45,39,52,86,66,9,140,31,30,110,159,107,78,211,224,93177,,,87396,,,,,94401
6037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",6,37,113301,2960,1120,66500,146875,55200,34,16,32,17,37,54,39,31,63,150,160,91,33,56,122,185,64773,,,154688,,152375,26944,81250,63864
6037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",6,37,113303,4307,1410,83971,84301,,20,67,74,116,21,0,39,94,77,74,49,256,114,122,194,93,80417,,,95357,,45000,137604,61875,80278
6037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",6,37,113321,6420,2495,68904,80486,68231,95,38,50,227,150,74,43,144,46,214,226,438,367,211,98,74,66211,77975,,87739,,68654,,57024,78056
6037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",6,37,113322,4284,1427,93795,96713,78800,31,20,40,8,11,40,32,72,84,54,180,220,181,91,189,174,75795,,,115982,,100179,121719,98000,71528
6037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",6,37,113401,6284,1860,84923,96689,60254,88,98,61,20,77,29,72,37,32,120,196,382,147,121,239,141,86563,74135,,82333,,84545,166188,84545,90735
6037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",6,37,113421,6810,2067,61228,97688,53306,59,192,83,47,40,104,96,123,94,168,311,315,171,129,59,76,60551,53611,,62634,,63597,,54750,66063
6037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",6,37,113422,6385,2063,74262,88536,59211,57,54,50,109,95,46,40,65,29,233,291,290,364,186,79,75,74961,112679,,95707,,63621,,73482,71354
6037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",6,37,115101,5060,1616,138750,146141,68750,58,34,45,10,18,0,34,29,26,46,96,168,173,174,204,501,142321,145927,,178125,,81691,250001,105000,139219
6037115103,Census Tract 1151.03,"Census Tract 1151.03, Los Angeles County, California",6,37,115103,3393,30,41818,,41818,3,0,0,0,0,4,0,11,0,4,4,0,4,0,0,0,41364,,,,,,,,55313
6037115104,Census Tract 1151.04,"Census Tract 1151.04, Los Angeles County, California",6,37,115104,4752,1888,51094,119519,33477,277,164,86,58,115,91,50,89,0,139,112,193,132,99,164,119,50977,33889,,76827,,,69444,52794,46250
6037115201,Census Tract 1152.01,"Census Tract 1152.01, Los Angeles County, California",6,37,115201,6909,2723,63768,112273,41887,433,172,91,79,132,27,46,146,48,138,269,285,378,126,190,163,74375,15026,,100089,,34615,40655,29292,75746
6037115202,Census Tract 1152.02,"Census Tract 1152.02, Los Angeles County, California",6,37,115202,5328,1931,61202,99894,44601,192,38,40,54,59,111,45,218,8,188,53,302,145,151,172,155,64861,,,,,92593,,,72778
6037115301,Census Tract 1153.01,"Census Tract 1153.01, Los Angeles County, California",6,37,115301,4600,1664,94615,111786,76250,108,63,75,68,17,37,58,30,33,31,170,163,180,196,258,177,90781,,,109196,,,,81000,96184
6037115302,Census Tract 1153.02,"Census Tract 1153.02, Los Angeles County, California",6,37,115302,4132,1054,46544,103813,34427,116,58,61,29,78,72,22,70,50,47,50,71,167,72,56,35,48250,19659,,88750,,45234,46125,43684,89464
6037115401,Census Tract 1154.01,"Census Tract 1154.01, Los Angeles County, California",6,37,115401,6219,1923,61483,116563,46156,43,55,87,115,178,157,51,32,136,82,167,274,151,123,113,159,63462,,,89830,,34028,,46932,72414
6037115403,Census Tract 1154.03,"Census Tract 1154.03, Los Angeles County, California",6,37,115403,3722,1036,52500,81944,41250,36,25,45,99,80,35,34,60,70,135,145,83,70,41,33,45,46133,,,97727,,51000,53203,46625,53750
6037115404,Census Tract 1154.04,"Census Tract 1154.04, Los Angeles County, California",6,37,115404,2926,836,63659,85104,42614,39,59,35,11,10,10,96,43,10,79,87,123,81,31,98,24,75121,71250,,52500,,,,64762,67250
6037117101,Census Tract 1171.01,"Census Tract 1171.01, Los Angeles County, California",6,37,117101,5115,1419,79005,106115,54891,42,5,20,77,52,75,114,44,14,84,121,193,175,112,208,83,86042,,,110333,,46023,,72716,103382
6037117102,Census Tract 1171.02,"Census Tract 1171.02, Los Angeles County, California",6,37,117102,2839,820,62643,71838,39453,48,26,48,24,6,9,64,31,64,78,83,118,52,58,73,38,63750,,,89519,,57813,,63125,59783
6037117201,Census Tract 1172.01,"Census Tract 1172.01, Los Angeles County, California",6,37,117201,4785,1197,55750,81250,36494,38,143,138,40,37,60,50,45,5,61,163,149,79,51,46,92,66848,,,,,44955,119844,52368,64545
6037117202,Census Tract 1172.02,"Census Tract 1172.02, Los Angeles County, California",6,37,117202,2577,769,79464,101364,31705,54,12,24,27,7,20,24,14,25,39,114,66,119,102,59,63,72273,76250,,98594,,143403,,89688,68438
6037117301,Census Tract 1173.01,"Census Tract 1173.01, Los Angeles County, California",6,37,117301,4005,1244,95391,97404,,23,22,55,21,62,9,33,66,35,94,69,214,154,121,144,122,96074,,,93587,,76944,,82813,95293
6037117302,Census Tract 1173.02,"Census Tract 1173.02, Los Angeles County, California",6,37,117302,5335,1712,95303,105000,56908,53,24,91,16,36,0,90,50,25,170,176,154,264,165,183,215,100354,93750,,100139,,55524,,79083,100510
6037117303,Census Tract 1173.03,"Census Tract 1173.03, Los Angeles County, California",6,37,117303,3578,1030,81517,82278,,8,16,27,85,39,13,28,50,51,59,23,209,125,132,97,68,80161,,,121786,,81038,,81958,77500
