FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Households:,Median Household Income (In 2018 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units: Owner Occupied,Median Household Income Occupied Housing Units: Renter Occupied,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Black or African American Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Asian Alone,Median Household Income (In 2018 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Two or More Races Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino"
6037135113,Census Tract 1351.13,"Census Tract 1351.13, Los Angeles County, California",6,37,135113,3268,1392,75833,33056,83649,34,59,56,29,34,56,45,72,38,102,165,242,148,88,139,85,74175,70677,,106534,,,,81827,74018
6037135114,Census Tract 1351.14,"Census Tract 1351.14, Los Angeles County, California",6,37,135114,5019,2634,60101,104659,59201,220,252,161,138,47,62,57,53,142,177,338,259,131,152,209,236,45543,68864,,81488,,,,60726,43472
6037135201,Census Tract 1352.01,"Census Tract 1352.01, Los Angeles County, California",6,37,135201,2900,912,107407,125804,51250,17,21,17,20,23,31,20,10,26,32,72,99,134,114,153,123,103661,,,127000,,,232083,66985,111667
6037135202,Census Tract 1352.02,"Census Tract 1352.02, Los Angeles County, California",6,37,135202,4597,1470,108500,109667,103056,60,8,20,0,20,71,34,8,46,70,117,166,249,127,227,247,106645,,,107917,,,,96750,105461
6037135203,Census Tract 1352.03,"Census Tract 1352.03, Los Angeles County, California",6,37,135203,7674,2532,115519,116611,86806,56,26,74,28,127,141,65,40,29,75,204,221,295,282,429,440,112500,97500,,126094,,,,,114006
6037137000,Census Tract 1370,"Census Tract 1370, Los Angeles County, California",6,37,137000,4992,1737,115402,130871,64808,60,18,9,75,74,40,75,65,37,46,184,117,107,120,176,534,106477,247700,,115972,,,250001,187065,104821
6037137103,Census Tract 1371.03,"Census Tract 1371.03, Los Angeles County, California",6,37,137103,5311,2464,76906,82101,74014,135,12,83,68,68,76,26,36,15,273,334,448,276,239,229,146,76736,82260,,,,,,61538,80678
6037137104,Census Tract 1371.04,"Census Tract 1371.04, Los Angeles County, California",6,37,137104,2889,1017,103799,106691,97188,41,20,52,10,8,40,47,0,23,63,112,66,122,65,126,222,103578,,,161250,,,,,104093
6037137201,Census Tract 1372.01,"Census Tract 1372.01, Los Angeles County, California",6,37,137201,6063,2333,75988,111546,68750,94,55,78,91,94,57,45,69,51,135,341,368,181,208,252,214,76923,97979,,,,70455,75890,72008,74728
6037137301,Census Tract 1373.01,"Census Tract 1373.01, Los Angeles County, California",6,37,137301,2354,727,152188,154766,114615,0,7,12,5,0,14,20,18,5,30,54,51,82,55,123,251,152578,250001,,,,,,195208,148750
6037137302,Census Tract 1373.02,"Census Tract 1373.02, Los Angeles County, California",6,37,137302,4406,1599,134971,143482,81992,11,17,11,49,49,25,16,25,64,80,42,162,187,167,226,468,134767,250001,,173380,,,,196852,133605
6037137401,Census Tract 1374.01,"Census Tract 1374.01, Los Angeles County, California",6,37,137401,4403,1641,109821,111500,102969,16,28,25,74,36,70,12,19,59,44,119,236,209,136,265,293,112125,250001,,77200,,,,138250,112250
6037137402,Census Tract 1374.02,"Census Tract 1374.02, Los Angeles County, California",6,37,137402,4887,2041,100781,120190,50816,109,48,0,63,163,23,138,0,26,87,117,234,248,263,170,352,100281,,,184612,,,,,95189
6037137501,Census Tract 1375.01,"Census Tract 1375.01, Los Angeles County, California",6,37,137501,4516,1905,85089,135074,63081,110,59,0,43,39,77,38,104,52,146,179,268,289,104,164,233,89663,,,97697,,60375,,73393,89365
6037137502,Census Tract 1375.02,"Census Tract 1375.02, Los Angeles County, California",6,37,137502,4823,1833,99836,117447,67500,74,68,33,103,26,70,44,42,19,137,149,154,143,120,289,362,97862,129904,,,,,,180611,98125
6037137504,Census Tract 1375.04,"Census Tract 1375.04, Los Angeles County, California",6,37,137504,2073,694,158500,158500,138750,0,6,3,21,0,12,12,5,6,20,76,34,68,75,98,258,161250,,,,,,,,160455
6037138000,Census Tract 1380,"Census Tract 1380, Los Angeles County, California",6,37,138000,4673,1784,128026,142024,64100,105,60,26,79,31,41,17,35,8,40,148,121,167,205,267,434,128355,,,209453,,120057,,122273,119167
6037139001,Census Tract 1390.01,"Census Tract 1390.01, Los Angeles County, California",6,37,139001,5618,2230,80156,96780,53561,81,17,164,145,64,50,66,33,95,204,164,288,228,131,357,143,76953,,,97917,,,68819,53603,85348
6037139200,Census Tract 1392,"Census Tract 1392, Los Angeles County, California",6,37,139200,5840,2172,67420,99461,50346,35,50,106,51,28,99,71,117,42,217,289,252,348,141,164,162,65000,,,97770,,,,84792,64215
6037139301,Census Tract 1393.01,"Census Tract 1393.01, Los Angeles County, California",6,37,139301,4590,1568,105192,106250,,61,0,18,32,30,62,33,28,36,95,109,231,200,209,127,297,107260,,,117500,,,46146,135739,92625
6037139302,Census Tract 1393.02,"Census Tract 1393.02, Los Angeles County, California",6,37,139302,5549,1988,51157,50179,51271,141,149,144,24,67,143,69,124,102,224,203,201,137,94,109,57,50202,,,,,74405,54036,53000,52500
6037139303,Census Tract 1393.03,"Census Tract 1393.03, Los Angeles County, California",6,37,139303,4393,1943,53297,72450,46029,152,83,78,40,171,86,80,81,100,214,187,232,155,95,116,73,52957,,,59286,,19250,78950,41250,53477
6037139401,Census Tract 1394.01,"Census Tract 1394.01, Los Angeles County, California",6,37,139401,2795,1313,63048,126157,48750,84,144,6,60,122,37,42,38,16,80,194,156,91,43,72,128,63707,,,61583,,,,63017,70100
6037139402,Census Tract 1394.02,"Census Tract 1394.02, Los Angeles County, California",6,37,139402,2889,920,128529,143864,76184,51,6,6,0,37,18,10,0,6,64,69,98,76,89,141,249,126979,,,,,,198750,,128529
6037139502,Census Tract 1395.02,"Census Tract 1395.02, Los Angeles County, California",6,37,139502,2856,1164,69048,86029,63347,71,79,52,0,60,41,21,81,0,45,192,123,120,59,90,130,67212,,,155741,,,73056,64570,68274
6037139503,Census Tract 1395.03,"Census Tract 1395.03, Los Angeles County, California",6,37,139503,5887,2700,56479,64649,49603,134,248,178,80,204,31,129,31,108,284,272,230,502,98,105,66,53846,,,103906,,,112987,73313,52516
6037139504,Census Tract 1395.04,"Census Tract 1395.04, Los Angeles County, California",6,37,139504,4018,1796,56082,98081,50708,187,85,75,164,57,24,88,89,0,175,166,217,116,183,89,81,52065,126250,,114028,,,,70500,51739
6037139600,Census Tract 1396,"Census Tract 1396, Los Angeles County, California",6,37,139600,4803,2097,79023,90729,63873,111,30,95,135,68,100,47,73,46,76,216,335,182,68,135,380,79659,,,,,,63512,117857,77886
6037139701,Census Tract 1397.01,"Census Tract 1397.01, Los Angeles County, California",6,37,139701,5336,1974,144337,155787,100789,76,16,17,13,0,33,21,73,18,79,90,251,167,232,190,698,145733,,,116058,,,,,148246
6037139702,Census Tract 1397.02,"Census Tract 1397.02, Los Angeles County, California",6,37,139702,6230,2200,202471,215278,,17,13,29,64,32,10,28,37,46,87,69,109,98,168,209,1184,220368,,,140417,,,,,221544
6037139703,Census Tract 1397.03,"Census Tract 1397.03, Los Angeles County, California",6,37,139703,2872,968,123750,140938,53750,49,13,0,14,31,37,39,30,5,31,78,32,125,84,72,328,139444,,,121667,,,,,140250
6037139801,Census Tract 1398.01,"Census Tract 1398.01, Los Angeles County, California",6,37,139801,3517,1303,137917,155380,,52,24,0,21,19,15,42,53,26,26,88,179,84,46,166,462,138333,,,250001,,,,250001,136125
6037139802,Census Tract 1398.02,"Census Tract 1398.02, Los Angeles County, California",6,37,139802,3958,1357,144031,154808,61493,48,22,8,12,19,42,53,10,16,10,77,110,145,130,78,577,144813,,,,,,,137273,148906
6037141101,Census Tract 1411.01,"Census Tract 1411.01, Los Angeles County, California",6,37,141101,4896,2310,63047,77075,59466,90,32,123,104,145,58,38,97,159,233,250,319,195,190,90,187,63242,59727,,71429,,,,78358,61707
6037141102,Census Tract 1411.02,"Census Tract 1411.02, Los Angeles County, California",6,37,141102,3068,1338,95391,126500,82500,8,17,82,14,82,16,26,31,63,79,103,182,98,137,111,289,91488,66339,,,,,250001,,95795
6037141201,Census Tract 1412.01,"Census Tract 1412.01, Los Angeles County, California",6,37,141201,4471,2089,67321,166111,63975,124,44,17,62,32,87,44,107,66,333,200,277,204,157,146,189,69219,110556,,57321,,,,74063,68281
6037141202,Census Tract 1412.02,"Census Tract 1412.02, Los Angeles County, California",6,37,141202,2751,1404,75403,163611,65093,162,39,26,25,19,18,42,75,51,56,179,194,10,39,241,228,74881,126875,,97625,,,,46012,75925
6037141302,Census Tract 1413.02,"Census Tract 1413.02, Los Angeles County, California",6,37,141302,5992,2932,88289,188214,74903,207,59,134,48,97,81,52,92,76,84,303,451,290,169,349,440,89632,,,85333,,73750,,86463,89526
6037141303,Census Tract 1413.03,"Census Tract 1413.03, Los Angeles County, California",6,37,141303,3427,1785,72847,96250,69215,97,38,86,32,27,83,73,110,103,92,167,177,248,101,208,143,79643,,,107917,,,,109457,74306
6037141304,Census Tract 1413.04,"Census Tract 1413.04, Los Angeles County, California",6,37,141304,3087,1486,84286,148750,52404,33,170,43,65,9,43,26,103,19,102,78,164,149,106,133,243,86848,,,250001,,,,74205,86141
6037141400,Census Tract 1414,"Census Tract 1414, Los Angeles County, California",6,37,141400,4979,2036,96744,148438,51806,55,38,128,82,73,73,105,42,32,84,139,236,308,107,164,370,99531,46012,,144471,,,,,98661
6037141500,Census Tract 1415,"Census Tract 1415, Los Angeles County, California",6,37,141500,2977,1077,214313,212875,250001,7,7,4,30,0,14,8,5,8,46,66,71,77,83,82,569,214250,,,237917,,,,,229821
6037141600,Census Tract 1416,"Census Tract 1416, Los Angeles County, California",6,37,141600,4210,1622,195071,199306,92356,28,25,8,9,22,15,34,7,61,70,16,111,140,96,212,768,193819,,,250001,,,104063,113438,194792
6037141700,Census Tract 1417,"Census Tract 1417, Los Angeles County, California",6,37,141700,3057,1197,205188,211406,151026,19,29,0,0,16,12,2,0,8,0,24,74,147,49,211,606,193958,,,250001,,,,,193780
6037143100,Census Tract 1431,"Census Tract 1431, Los Angeles County, California",6,37,143100,4422,2238,97727,157908,85511,56,21,32,75,72,45,35,22,99,98,240,354,317,115,257,400,109881,81190,,,,87545,,68750,113160
6037143200,Census Tract 1432,"Census Tract 1432, Los Angeles County, California",6,37,143200,4210,2083,74063,122586,65077,175,52,53,23,96,61,56,173,33,88,257,251,302,185,105,173,74063,86771,,155263,,41667,84276,41667,74669
6037143300,Census Tract 1433,"Census Tract 1433, Los Angeles County, California",6,37,143300,6730,3113,87125,146083,53137,160,106,59,111,237,46,232,50,44,199,172,258,360,249,221,609,76835,,,173688,,109615,,51172,101705
6037143400,Census Tract 1434,"Census Tract 1434, Los Angeles County, California",6,37,143400,6688,3008,106920,131313,84613,105,42,109,100,31,31,49,29,102,108,257,433,321,383,266,642,106900,,,75536,,,132321,95577,107390
6037143500,Census Tract 1435,"Census Tract 1435, Los Angeles County, California",6,37,143500,5241,2310,91563,132417,74629,111,179,86,145,10,23,13,0,50,173,120,290,293,107,334,376,103617,72622,,,,,,,108641
6037143602,Census Tract 1436.02,"Census Tract 1436.02, Los Angeles County, California",6,37,143602,4648,2215,84336,131522,52863,130,38,108,30,107,57,62,54,147,125,132,222,201,74,225,503,83594,37650,,106108,,,,,84883
6037143603,Census Tract 1436.03,"Census Tract 1436.03, Los Angeles County, California",6,37,143603,2369,1342,77667,113333,64375,124,32,57,61,22,33,6,64,47,86,110,170,131,93,143,163,75486,,,80833,,,142625,115625,75347
6037143604,Census Tract 1436.04,"Census Tract 1436.04, Los Angeles County, California",6,37,143604,3521,2111,63275,,63099,235,50,64,111,71,128,98,9,62,160,184,307,129,220,201,82,62913,,,87989,,,99330,63162,59625
6037143700,Census Tract 1437,"Census Tract 1437, Los Angeles County, California",6,37,143700,3916,1914,106818,145245,81276,60,102,40,17,28,78,61,76,0,42,86,311,151,148,90,624,110625,,,117273,,,105795,99375,107235
6037143800,Census Tract 1438,"Census Tract 1438, Los Angeles County, California",6,37,143800,5708,2471,132366,226170,83636,15,28,56,84,31,0,16,27,29,147,151,404,117,225,326,815,154792,83181,,,,,,100642,159531
6037143901,Census Tract 1439.01,"Census Tract 1439.01, Los Angeles County, California",6,37,143901,4343,1587,208438,221000,137969,26,41,48,34,14,0,24,0,34,24,38,163,89,107,119,826,211875,,,250001,,,115000,198125,210500
6037143902,Census Tract 1439.02,"Census Tract 1439.02, Los Angeles County, California",6,37,143902,2856,1303,120781,213026,90469,16,26,7,24,35,89,37,15,8,64,77,102,168,73,84,478,116739,,,126464,,,,234485,112772
6037181000,Census Tract 1810,"Census Tract 1810, Los Angeles County, California",6,37,181000,6523,2250,117409,140662,49792,88,63,89,110,52,34,23,32,31,148,121,172,267,113,446,461,120459,,,150781,,,114044,120449,115938
6037181300,Census Tract 1813,"Census Tract 1813, Los Angeles County, California",6,37,181300,4058,1347,107371,119263,92500,33,44,40,24,54,28,18,21,53,70,80,161,249,144,96,232,98750,126326,,107950,,113182,92130,90787,118229
6037181400,Census Tract 1814,"Census Tract 1814, Los Angeles County, California",6,37,181400,4669,1585,57382,102679,50221,85,17,78,73,84,108,95,52,86,135,121,137,256,49,126,83,66932,82984,,62031,,39044,122879,48750,75982
6037181500,Census Tract 1815,"Census Tract 1815, Los Angeles County, California",6,37,181500,3918,1420,108269,112163,84276,76,34,35,12,7,35,0,55,37,139,157,79,153,122,302,177,81563,150750,,117045,,127917,,68646,115938
6037181600,Census Tract 1816,"Census Tract 1816, Los Angeles County, California",6,37,181600,4666,1000,74205,89183,61406,9,31,22,45,22,44,35,58,46,45,150,132,91,106,103,61,72604,,,83393,,71750,77583,66364,88990
6037183101,Census Tract 1831.01,"Census Tract 1831.01, Los Angeles County, California",6,37,183101,3437,1319,57893,86429,42917,48,72,28,80,82,94,82,19,59,125,71,128,103,122,97,109,77386,,,34688,,48125,,49167,85179
6037183103,Census Tract 1831.03,"Census Tract 1831.03, Los Angeles County, California",6,37,183103,4508,1462,59076,99271,55313,69,18,55,85,26,48,30,67,108,242,222,224,100,93,62,13,55250,62054,66473,92083,,53406,91094,54030,59833
6037183104,Census Tract 1831.04,"Census Tract 1831.04, Los Angeles County, California",6,37,183104,2226,772,76034,82500,65667,26,6,31,24,47,0,16,15,57,58,94,133,42,68,100,55,75333,105208,,75982,,65673,118542,67417,84750
6037183220,Census Tract 1832.20,"Census Tract 1832.20, Los Angeles County, California",6,37,183220,4022,1167,56710,78365,50052,76,45,77,57,19,44,0,88,61,180,85,128,74,25,112,96,56758,,58194,78894,,55972,,50938,101250
6037183221,Census Tract 1832.21,"Census Tract 1832.21, Los Angeles County, California",6,37,183221,3584,1051,62011,98542,49615,17,50,66,41,38,52,26,81,79,57,141,98,65,82,64,94,68125,,,,,62632,62396,56719,83958
6037183222,Census Tract 1832.22,"Census Tract 1832.22, Los Angeles County, California",6,37,183222,3459,1290,70089,118047,31213,37,107,70,24,61,71,38,61,80,68,61,85,125,31,179,192,48477,250001,,96591,,,114231,42283,77143
6037183300,Census Tract 1833,"Census Tract 1833, Los Angeles County, California",6,37,183300,3256,989,73765,78452,68542,33,23,48,45,15,27,62,25,50,38,171,172,120,28,83,49,73958,,,90625,,51750,,71875,73463
6037183401,Census Tract 1834.01,"Census Tract 1834.01, Los Angeles County, California",6,37,183401,2322,798,59211,61288,53000,43,54,9,40,20,70,39,42,30,58,110,75,61,28,38,81,63450,,,69107,,44211,,44861,83295
6037183402,Census Tract 1834.02,"Census Tract 1834.02, Los Angeles County, California",6,37,183402,2994,927,60972,89489,45469,50,26,37,26,52,73,76,36,33,44,140,111,54,63,71,35,54167,,,57303,,61591,,56250,70139
6037183510,Census Tract 1835.10,"Census Tract 1835.10, Los Angeles County, California",6,37,183510,2612,774,70357,81500,55921,12,24,49,63,13,14,33,29,8,75,86,91,94,66,60,57,83750,,,,,52404,197917,64306,80000
6037183520,Census Tract 1835.20,"Census Tract 1835.20, Los Angeles County, California",6,37,183520,3787,1101,44276,70556,41806,93,39,58,80,78,86,49,84,19,118,98,48,61,64,77,49,53250,,,,,34714,109375,36189,90000
6037183610,Census Tract 1836.10,"Census Tract 1836.10, Los Angeles County, California",6,37,183610,3434,1011,56563,89620,41210,43,72,22,116,60,33,19,71,26,78,85,169,100,73,31,13,70208,,,69464,,47167,,48523,83958
6037183620,Census Tract 1836.20,"Census Tract 1836.20, Los Angeles County, California",6,37,183620,3245,987,56597,91500,38664,51,47,44,91,74,26,61,50,25,45,111,99,109,67,42,45,64531,23615,,63750,,54712,114000,55385,83958
6037183701,Census Tract 1837.01,"Census Tract 1837.01, Los Angeles County, California",6,37,183701,3789,1367,49386,80882,41563,36,122,157,29,18,60,79,125,72,80,162,136,133,70,11,77,49565,,,72679,,62831,,45865,78224
6037183702,Census Tract 1837.02,"Census Tract 1837.02, Los Angeles County, California",6,37,183702,2906,1073,54602,91667,44563,75,21,83,57,15,22,130,27,55,102,113,78,119,28,91,57,51250,,,76042,,38711,63450,39306,70515
6037183810,Census Tract 1838.10,"Census Tract 1838.10, Los Angeles County, California",6,37,183810,4406,1361,47350,63015,44327,83,124,145,34,115,48,69,39,52,139,156,196,62,53,41,5,44559,,,,,45417,68990,45900,53906
6037183820,Census Tract 1838.20,"Census Tract 1838.20, Los Angeles County, California",6,37,183820,4023,1116,37857,60388,33906,105,82,45,119,65,109,57,46,47,108,141,35,105,36,8,8,50234,,,,,32439,,35474,76528
6037185100,Census Tract 1851,"Census Tract 1851, Los Angeles County, California",6,37,185100,6677,2195,101103,133229,54906,191,25,25,84,87,0,112,0,113,143,118,192,92,396,221,396,118816,,,132813,,26053,,54245,126392
6037185202,Census Tract 1852.02,"Census Tract 1852.02, Los Angeles County, California",6,37,185202,3729,1386,63545,99464,52658,44,29,67,48,24,94,37,125,37,135,144,163,100,95,95,149,63097,,,85677,,53641,111650,54730,63475
6037185203,Census Tract 1852.03,"Census Tract 1852.03, Los Angeles County, California",6,37,185203,3609,950,48796,73828,36450,72,70,49,101,19,51,48,46,32,60,90,93,81,9,59,70,51369,,19955,,,61696,2499,47000,93269
6037185204,Census Tract 1852.04,"Census Tract 1852.04, Los Angeles County, California",6,37,185204,1979,738,85625,116369,59191,49,16,27,27,0,22,11,22,17,57,59,103,70,67,59,132,96875,,,115313,,47115,250001,72679,113750
6037185310,Census Tract 1853.10,"Census Tract 1853.10, Los Angeles County, California",6,37,185310,3113,823,58194,86797,42273,63,22,29,51,33,56,76,28,26,34,93,132,78,38,51,13,50089,,,80750,,68182,,53636,
6037185320,Census Tract 1853.20,"Census Tract 1853.20, Los Angeles County, California",6,37,185320,2970,832,45600,60250,40083,130,70,35,32,44,28,42,29,53,104,63,122,32,23,6,19,50260,,,,,41333,,43839,85417
6037186100,Census Tract 1861,"Census Tract 1861, Los Angeles County, California",6,37,186100,5024,1864,92738,124531,51429,26,90,19,63,50,64,163,32,6,167,139,214,178,167,216,270,93472,50759,,117532,,93542,58813,54185,105625
6037186201,Census Tract 1862.01,"Census Tract 1862.01, Los Angeles County, California",6,37,186201,3437,1220,62125,61000,62500,140,141,42,31,23,16,35,21,87,40,208,185,49,94,42,66,72266,,,59044,,88750,,74391,56806
6037186202,Census Tract 1862.02,"Census Tract 1862.02, Los Angeles County, California",6,37,186202,1953,680,84375,94722,62167,15,22,24,14,19,42,31,18,10,54,44,124,131,17,44,71,81125,,,91591,,93750,62679,63036,94643
