FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Two or More Races,Total: Two or More Asian
6037119202,Census Tract 1192.02,"Census Tract 1192.02, Los Angeles County, California",6,37,119202,4723,4723,12753.67,0.370324882,4723,1961,38,99,295,0,2281,49,4162,47,10
6037119310,Census Tract 1193.10,"Census Tract 1193.10, Los Angeles County, California",6,37,119310,4085,4085,24888.21,0.164133965,4085,2069,157,24,620,0,1175,40,2745,40,24
6037119320,Census Tract 1193.20,"Census Tract 1193.20, Los Angeles County, California",6,37,119320,4761,4761,25349.44,0.18781477,4761,1277,310,0,872,0,2205,97,3377,72,42
6037119340,Census Tract 1193.40,"Census Tract 1193.40, Los Angeles County, California",6,37,119340,4032,4032,85492.57,0.047161995,4032,1772,176,17,48,0,2019,0,3838,0,0
6037119341,Census Tract 1193.41,"Census Tract 1193.41, Los Angeles County, California",6,37,119341,2877,2877,22831.41,0.126010622,2877,1165,82,0,729,0,864,37,1670,6,0
6037119342,Census Tract 1193.42,"Census Tract 1193.42, Los Angeles County, California",6,37,119342,3092,3092,36550.8,0.0845946,3092,1422,66,0,403,0,1171,30,2403,26,13
6037119400,Census Tract 1194,"Census Tract 1194, Los Angeles County, California",6,37,119400,5426,5426,12578.01,0.431387713,5426,3048,47,0,458,0,1691,182,4525,152,0
6037119700,Census Tract 1197,"Census Tract 1197, Los Angeles County, California",6,37,119700,5076,5076,10201.8,0.497559448,5076,2998,185,0,1164,0,633,96,2437,96,7
6037119800,Census Tract 1198,"Census Tract 1198, Los Angeles County, California",6,37,119800,6130,6130,12843.86,0.477270937,6130,3305,87,0,868,0,1773,97,4512,42,15
6037119900,Census Tract 1199,"Census Tract 1199, Los Angeles County, California",6,37,119900,4998,4998,12302.5,0.406259025,4998,1966,24,45,1161,0,1802,0,3310,0,57
6037120010,Census Tract 1200.10,"Census Tract 1200.10, Los Angeles County, California",6,37,120010,2701,2701,12627.77,0.213893655,2701,933,81,0,286,0,1337,64,2105,64,0
6037120020,Census Tract 1200.20,"Census Tract 1200.20, Los Angeles County, California",6,37,120020,3853,3853,18562.79,0.207565827,3853,1113,220,0,699,0,1798,23,2856,23,8
6037120030,Census Tract 1200.30,"Census Tract 1200.30, Los Angeles County, California",6,37,120030,2683,2683,19376.94,0.138463576,2683,1014,58,0,136,0,1475,0,2422,0,0
6037120103,Census Tract 1201.03,"Census Tract 1201.03, Los Angeles County, California",6,37,120103,3399,3399,63575.54,0.053463954,3399,1130,99,0,98,0,2043,29,3131,29,0
6037120104,Census Tract 1201.04,"Census Tract 1201.04, Los Angeles County, California",6,37,120104,2236,2236,12759.12,0.175247144,2236,929,192,40,358,10,663,44,1403,5,0
