FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6001400100,"Census Tract 4001, Alameda County, California","Census Tract 4001, Alameda County, California",6,1,400100,3353,1384,1293,1061,232
6001400200,"Census Tract 4002, Alameda County, California","Census Tract 4002, Alameda County, California",6,1,400200,1944,891,830,574,256
6001400300,"Census Tract 4003, Alameda County, California","Census Tract 4003, Alameda County, California",6,1,400300,5376,2600,2472,1101,1371
6001400400,"Census Tract 4004, Alameda County, California","Census Tract 4004, Alameda County, California",6,1,400400,4152,1950,1902,791,1111
6001400500,"Census Tract 4005, Alameda County, California","Census Tract 4005, Alameda County, California",6,1,400500,3618,1682,1587,569,1018
6001400600,"Census Tract 4006, Alameda County, California","Census Tract 4006, Alameda County, California",6,1,400600,1691,784,709,299,410
6001400700,"Census Tract 4007, Alameda County, California","Census Tract 4007, Alameda County, California",6,1,400700,4062,1976,1756,519,1237
6001400800,"Census Tract 4008, Alameda County, California","Census Tract 4008, Alameda County, California",6,1,400800,3071,1754,1509,469,1040
6001400900,"Census Tract 4009, Alameda County, California","Census Tract 4009, Alameda County, California",6,1,400900,2178,1135,1043,477,566
6001401000,"Census Tract 4010, Alameda County, California","Census Tract 4010, Alameda County, California",6,1,401000,5007,2695,2373,880,1493
6001401100,"Census Tract 4011, Alameda County, California","Census Tract 4011, Alameda County, California",6,1,401100,4054,2152,2030,405,1625
6001401200,"Census Tract 4012, Alameda County, California","Census Tract 4012, Alameda County, California",6,1,401200,2456,1304,1245,544,701
6001401300,"Census Tract 4013, Alameda County, California","Census Tract 4013, Alameda County, California",6,1,401300,3983,1891,1743,213,1530
6001401400,"Census Tract 4014, Alameda County, California","Census Tract 4014, Alameda County, California",6,1,401400,4340,1786,1447,274,1173
6001401500,"Census Tract 4015, Alameda County, California","Census Tract 4015, Alameda County, California",6,1,401500,2080,1223,992,449,543
6001401600,"Census Tract 4016, Alameda County, California","Census Tract 4016, Alameda County, California",6,1,401600,1889,868,707,140,567
6001401700,"Census Tract 4017, Alameda County, California","Census Tract 4017, Alameda County, California",6,1,401700,2544,1203,1083,398,685
6001401800,"Census Tract 4018, Alameda County, California","Census Tract 4018, Alameda County, California",6,1,401800,2112,874,725,119,606
6001402200,"Census Tract 4022, Alameda County, California","Census Tract 4022, Alameda County, California",6,1,402200,2505,1062,940,283,657
6001402400,"Census Tract 4024, Alameda County, California","Census Tract 4024, Alameda County, California",6,1,402400,3101,1200,1101,139,962
6001402500,"Census Tract 4025, Alameda County, California","Census Tract 4025, Alameda County, California",6,1,402500,2026,809,750,140,610
6001402600,"Census Tract 4026, Alameda County, California","Census Tract 4026, Alameda County, California",6,1,402600,955,663,587,102,485
6001402700,"Census Tract 4027, Alameda County, California","Census Tract 4027, Alameda County, California",6,1,402700,1583,758,651,194,457
6001402800,"Census Tract 4028, Alameda County, California","Census Tract 4028, Alameda County, California",6,1,402800,3044,2062,1882,170,1712
6001402900,"Census Tract 4029, Alameda County, California","Census Tract 4029, Alameda County, California",6,1,402900,1254,858,784,0,784
6001403000,"Census Tract 4030, Alameda County, California","Census Tract 4030, Alameda County, California",6,1,403000,2368,1658,1336,278,1058
6001403100,"Census Tract 4031, Alameda County, California","Census Tract 4031, Alameda County, California",6,1,403100,1535,670,625,191,434
6001403300,"Census Tract 4033, Alameda County, California","Census Tract 4033, Alameda County, California",6,1,403300,4040,2365,2140,523,1617
6001403400,"Census Tract 4034, Alameda County, California","Census Tract 4034, Alameda County, California",6,1,403400,4318,3102,2845,307,2538
6001403501,"Census Tract 4035.01, Alameda County, California","Census Tract 4035.01, Alameda County, California",6,1,403501,4178,2634,2342,318,2024
6001403502,"Census Tract 4035.02, Alameda County, California","Census Tract 4035.02, Alameda County, California",6,1,403502,2039,1313,1200,376,824
6001403600,"Census Tract 4036, Alameda County, California","Census Tract 4036, Alameda County, California",6,1,403600,4334,2761,2482,434,2048
6001403701,"Census Tract 4037.01, Alameda County, California","Census Tract 4037.01, Alameda County, California",6,1,403701,2497,1898,1712,136,1576
6001403702,"Census Tract 4037.02, Alameda County, California","Census Tract 4037.02, Alameda County, California",6,1,403702,1969,1163,1131,291,840
6001403800,"Census Tract 4038, Alameda County, California","Census Tract 4038, Alameda County, California",6,1,403800,3545,1921,1803,624,1179
6001403900,"Census Tract 4039, Alameda County, California","Census Tract 4039, Alameda County, California",6,1,403900,3983,2307,2253,739,1514
6001404000,"Census Tract 4040, Alameda County, California","Census Tract 4040, Alameda County, California",6,1,404000,2798,1755,1607,417,1190
6001404101,"Census Tract 4041.01, Alameda County, California","Census Tract 4041.01, Alameda County, California",6,1,404101,2812,1809,1620,667,953
6001404102,"Census Tract 4041.02, Alameda County, California","Census Tract 4041.02, Alameda County, California",6,1,404102,2614,1730,1597,219,1378
6001404200,"Census Tract 4042, Alameda County, California","Census Tract 4042, Alameda County, California",6,1,404200,3496,1418,1343,1018,325
6001404300,"Census Tract 4043, Alameda County, California","Census Tract 4043, Alameda County, California",6,1,404300,3436,1374,1332,1094,238
6001404400,"Census Tract 4044, Alameda County, California","Census Tract 4044, Alameda County, California",6,1,404400,5058,2408,2241,1901,340
6001404501,"Census Tract 4045.01, Alameda County, California","Census Tract 4045.01, Alameda County, California",6,1,404501,1822,717,681,587,94
6001404502,"Census Tract 4045.02, Alameda County, California","Census Tract 4045.02, Alameda County, California",6,1,404502,5540,2459,2390,2143,247
6001404600,"Census Tract 4046, Alameda County, California","Census Tract 4046, Alameda County, California",6,1,404600,4536,1867,1830,1711,119
6001404700,"Census Tract 4047, Alameda County, California","Census Tract 4047, Alameda County, California",6,1,404700,1973,822,758,695,63
6001404800,"Census Tract 4048, Alameda County, California","Census Tract 4048, Alameda County, California",6,1,404800,2746,1315,1286,727,559
6001404900,"Census Tract 4049, Alameda County, California","Census Tract 4049, Alameda County, California",6,1,404900,4295,2075,1998,1217,781
6001405000,"Census Tract 4050, Alameda County, California","Census Tract 4050, Alameda County, California",6,1,405000,3356,1621,1523,955,568
6001405100,"Census Tract 4051, Alameda County, California","Census Tract 4051, Alameda County, California",6,1,405100,3974,1620,1513,1322,191
6001405200,"Census Tract 4052, Alameda County, California","Census Tract 4052, Alameda County, California",6,1,405200,4647,2626,2358,645,1713
6001405301,"Census Tract 4053.01, Alameda County, California","Census Tract 4053.01, Alameda County, California",6,1,405301,2588,1633,1470,160,1310
6001405302,"Census Tract 4053.02, Alameda County, California","Census Tract 4053.02, Alameda County, California",6,1,405302,2450,1604,1523,36,1487
6001405401,"Census Tract 4054.01, Alameda County, California","Census Tract 4054.01, Alameda County, California",6,1,405401,4104,1799,1661,181,1480
6001405402,"Census Tract 4054.02, Alameda County, California","Census Tract 4054.02, Alameda County, California",6,1,405402,2917,1291,1054,157,897
6001405500,"Census Tract 4055, Alameda County, California","Census Tract 4055, Alameda County, California",6,1,405500,3570,1697,1533,311,1222
6001405600,"Census Tract 4056, Alameda County, California","Census Tract 4056, Alameda County, California",6,1,405600,3252,1545,1454,320,1134
6001405700,"Census Tract 4057, Alameda County, California","Census Tract 4057, Alameda County, California",6,1,405700,3040,1500,1240,302,938
6001405800,"Census Tract 4058, Alameda County, California","Census Tract 4058, Alameda County, California",6,1,405800,4275,1430,1338,579,759
6001405901,"Census Tract 4059.01, Alameda County, California","Census Tract 4059.01, Alameda County, California",6,1,405901,3438,1127,920,267,653
6001405902,"Census Tract 4059.02, Alameda County, California","Census Tract 4059.02, Alameda County, California",6,1,405902,3430,1040,967,269,698
6001406000,"Census Tract 4060, Alameda County, California","Census Tract 4060, Alameda County, California",6,1,406000,3319,1596,1448,149,1299
6001406100,"Census Tract 4061, Alameda County, California","Census Tract 4061, Alameda County, California",6,1,406100,4508,1620,1450,456,994
6001406201,"Census Tract 4062.01, Alameda County, California","Census Tract 4062.01, Alameda County, California",6,1,406201,4027,1516,1249,267,982
6001406202,"Census Tract 4062.02, Alameda County, California","Census Tract 4062.02, Alameda County, California",6,1,406202,4420,1401,1216,176,1040
6001406300,"Census Tract 4063, Alameda County, California","Census Tract 4063, Alameda County, California",6,1,406300,4453,1300,1236,465,771
6001406400,"Census Tract 4064, Alameda County, California","Census Tract 4064, Alameda County, California",6,1,406400,2357,798,695,293,402
6001406500,"Census Tract 4065, Alameda County, California","Census Tract 4065, Alameda County, California",6,1,406500,6053,2043,1797,560,1237
6001406601,"Census Tract 4066.01, Alameda County, California","Census Tract 4066.01, Alameda County, California",6,1,406601,4837,1875,1710,675,1035
6001406602,"Census Tract 4066.02, Alameda County, California","Census Tract 4066.02, Alameda County, California",6,1,406602,2146,991,857,303,554
6001406700,"Census Tract 4067, Alameda County, California","Census Tract 4067, Alameda County, California",6,1,406700,4935,2368,2177,1517,660
6001406800,"Census Tract 4068, Alameda County, California","Census Tract 4068, Alameda County, California",6,1,406800,3642,1461,1336,907,429
6001406900,"Census Tract 4069, Alameda County, California","Census Tract 4069, Alameda County, California",6,1,406900,3807,1568,1484,831,653
6001407000,"Census Tract 4070, Alameda County, California","Census Tract 4070, Alameda County, California",6,1,407000,5428,2191,1858,875,983
6001407101,"Census Tract 4071.01, Alameda County, California","Census Tract 4071.01, Alameda County, California",6,1,407101,3723,1087,1005,222,783
6001407102,"Census Tract 4071.02, Alameda County, California","Census Tract 4071.02, Alameda County, California",6,1,407102,4268,1431,1262,558,704
6001407200,"Census Tract 4072, Alameda County, California","Census Tract 4072, Alameda County, California",6,1,407200,6067,1912,1655,370,1285
6001407300,"Census Tract 4073, Alameda County, California","Census Tract 4073, Alameda County, California",6,1,407300,2797,798,724,252,472
6001407400,"Census Tract 4074, Alameda County, California","Census Tract 4074, Alameda County, California",6,1,407400,4379,1211,1112,292,820
6001407500,"Census Tract 4075, Alameda County, California","Census Tract 4075, Alameda County, California",6,1,407500,3648,1388,1211,299,912
6001407600,"Census Tract 4076, Alameda County, California","Census Tract 4076, Alameda County, California",6,1,407600,5369,2304,1979,975,1004
6001407700,"Census Tract 4077, Alameda County, California","Census Tract 4077, Alameda County, California",6,1,407700,4100,1858,1696,1256,440
6001407800,"Census Tract 4078, Alameda County, California","Census Tract 4078, Alameda County, California",6,1,407800,2760,805,739,526,213
6001407900,"Census Tract 4079, Alameda County, California","Census Tract 4079, Alameda County, California",6,1,407900,2501,1159,962,764,198
6001408000,"Census Tract 4080, Alameda County, California","Census Tract 4080, Alameda County, California",6,1,408000,2821,1044,1001,873,128
6001408100,"Census Tract 4081, Alameda County, California","Census Tract 4081, Alameda County, California",6,1,408100,6466,2788,2649,2220,429
6001408200,"Census Tract 4082, Alameda County, California","Census Tract 4082, Alameda County, California",6,1,408200,3624,1912,1665,821,844
6001408300,"Census Tract 4083, Alameda County, California","Census Tract 4083, Alameda County, California",6,1,408300,5016,1863,1776,1178,598
6001408400,"Census Tract 4084, Alameda County, California","Census Tract 4084, Alameda County, California",6,1,408400,3696,1376,1091,398,693
6001408500,"Census Tract 4085, Alameda County, California","Census Tract 4085, Alameda County, California",6,1,408500,5341,1736,1526,528,998
6001408600,"Census Tract 4086, Alameda County, California","Census Tract 4086, Alameda County, California",6,1,408600,5922,1951,1717,637,1080
6001408700,"Census Tract 4087, Alameda County, California","Census Tract 4087, Alameda County, California",6,1,408700,7285,2619,2169,871,1298
6001408800,"Census Tract 4088, Alameda County, California","Census Tract 4088, Alameda County, California",6,1,408800,6248,2010,1888,409,1479
6001408900,"Census Tract 4089, Alameda County, California","Census Tract 4089, Alameda County, California",6,1,408900,3137,1112,1009,313,696
6001409000,"Census Tract 4090, Alameda County, California","Census Tract 4090, Alameda County, California",6,1,409000,4031,1101,1061,504,557
6001409100,"Census Tract 4091, Alameda County, California","Census Tract 4091, Alameda County, California",6,1,409100,2233,682,590,370,220
6001409200,"Census Tract 4092, Alameda County, California","Census Tract 4092, Alameda County, California",6,1,409200,3061,1006,875,411,464
6001409300,"Census Tract 4093, Alameda County, California","Census Tract 4093, Alameda County, California",6,1,409300,5356,1611,1474,616,858
6001409400,"Census Tract 4094, Alameda County, California","Census Tract 4094, Alameda County, California",6,1,409400,4524,1303,1087,416,671
6001409500,"Census Tract 4095, Alameda County, California","Census Tract 4095, Alameda County, California",6,1,409500,4351,1103,995,256,739
6001409600,"Census Tract 4096, Alameda County, California","Census Tract 4096, Alameda County, California",6,1,409600,5480,1604,1395,379,1016
6001409700,"Census Tract 4097, Alameda County, California","Census Tract 4097, Alameda County, California",6,1,409700,5030,1750,1540,553,987
6001409800,"Census Tract 4098, Alameda County, California","Census Tract 4098, Alameda County, California",6,1,409800,2640,1290,1037,652,385
6001409900,"Census Tract 4099, Alameda County, California","Census Tract 4099, Alameda County, California",6,1,409900,3267,1437,1328,1184,144
6001410000,"Census Tract 4100, Alameda County, California","Census Tract 4100, Alameda County, California",6,1,410000,3258,1208,1178,1128,50
6001410100,"Census Tract 4101, Alameda County, California","Census Tract 4101, Alameda County, California",6,1,410100,3110,1054,972,482,490
6001410200,"Census Tract 4102, Alameda County, California","Census Tract 4102, Alameda County, California",6,1,410200,3383,1212,1111,526,585
6001410300,"Census Tract 4103, Alameda County, California","Census Tract 4103, Alameda County, California",6,1,410300,3646,1065,932,297,635
6001410400,"Census Tract 4104, Alameda County, California","Census Tract 4104, Alameda County, California",6,1,410400,4211,1341,1245,853,392
6001410500,"Census Tract 4105, Alameda County, California","Census Tract 4105, Alameda County, California",6,1,410500,2415,1050,1031,79,952
6001420100,"Census Tract 4201, Alameda County, California","Census Tract 4201, Alameda County, California",6,1,420100,2409,911,894,548,346
6001420200,"Census Tract 4202, Alameda County, California","Census Tract 4202, Alameda County, California",6,1,420200,3015,1244,1204,523,681
6001420300,"Census Tract 4203, Alameda County, California","Census Tract 4203, Alameda County, California",6,1,420300,4717,1973,1902,1057,845
6001420400,"Census Tract 4204, Alameda County, California","Census Tract 4204, Alameda County, California",6,1,420400,3687,1350,1243,0,1243
6001420500,"Census Tract 4205, Alameda County, California","Census Tract 4205, Alameda County, California",6,1,420500,2110,985,830,388,442
6001420600,"Census Tract 4206, Alameda County, California","Census Tract 4206, Alameda County, California",6,1,420600,2831,1260,1159,787,372
6001421100,"Census Tract 4211, Alameda County, California","Census Tract 4211, Alameda County, California",6,1,421100,2045,895,854,823,31
6001421200,"Census Tract 4212, Alameda County, California","Census Tract 4212, Alameda County, California",6,1,421200,3641,1573,1485,1296,189
6001421300,"Census Tract 4213, Alameda County, California","Census Tract 4213, Alameda County, California",6,1,421300,4188,1790,1696,1349,347
6001421400,"Census Tract 4214, Alameda County, California","Census Tract 4214, Alameda County, California",6,1,421400,1781,697,672,572,100
6001421500,"Census Tract 4215, Alameda County, California","Census Tract 4215, Alameda County, California",6,1,421500,3716,1700,1600,1312,288
6001421600,"Census Tract 4216, Alameda County, California","Census Tract 4216, Alameda County, California",6,1,421600,3506,1683,1564,1143,421
6001421700,"Census Tract 4217, Alameda County, California","Census Tract 4217, Alameda County, California",6,1,421700,3823,1729,1603,579,1024
6001421800,"Census Tract 4218, Alameda County, California","Census Tract 4218, Alameda County, California",6,1,421800,2217,955,905,667,238
6001421900,"Census Tract 4219, Alameda County, California","Census Tract 4219, Alameda County, California",6,1,421900,3710,1895,1708,1115,593
6001422000,"Census Tract 4220, Alameda County, California","Census Tract 4220, Alameda County, California",6,1,422000,1591,813,720,251,469
6001422100,"Census Tract 4221, Alameda County, California","Census Tract 4221, Alameda County, California",6,1,422100,2280,1228,1070,548,522
6001422200,"Census Tract 4222, Alameda County, California","Census Tract 4222, Alameda County, California",6,1,422200,3196,1664,1577,718,859
6001422300,"Census Tract 4223, Alameda County, California","Census Tract 4223, Alameda County, California",6,1,422300,3853,1913,1664,596,1068
6001422400,"Census Tract 4224, Alameda County, California","Census Tract 4224, Alameda County, California",6,1,422400,4485,2303,2191,230,1961
6001422500,"Census Tract 4225, Alameda County, California","Census Tract 4225, Alameda County, California",6,1,422500,4323,1720,1560,307,1253
6001422600,"Census Tract 4226, Alameda County, California","Census Tract 4226, Alameda County, California",6,1,422600,627,15,15,4,11
6001422700,"Census Tract 4227, Alameda County, California","Census Tract 4227, Alameda County, California",6,1,422700,4510,1196,1006,147,859
6001422800,"Census Tract 4228, Alameda County, California","Census Tract 4228, Alameda County, California",6,1,422800,7900,1504,1354,11,1343
6001422900,"Census Tract 4229, Alameda County, California","Census Tract 4229, Alameda County, California",6,1,422900,4190,1990,1877,18,1859
6001423000,"Census Tract 4230, Alameda County, California","Census Tract 4230, Alameda County, California",6,1,423000,4828,2179,1954,836,1118
6001423100,"Census Tract 4231, Alameda County, California","Census Tract 4231, Alameda County, California",6,1,423100,3869,2080,1893,631,1262
6001423200,"Census Tract 4232, Alameda County, California","Census Tract 4232, Alameda County, California",6,1,423200,2953,1198,1117,356,761
6001423300,"Census Tract 4233, Alameda County, California","Census Tract 4233, Alameda County, California",6,1,423300,3830,1755,1613,817,796
6001423400,"Census Tract 4234, Alameda County, California","Census Tract 4234, Alameda County, California",6,1,423400,5168,2263,2104,791,1313
6001423500,"Census Tract 4235, Alameda County, California","Census Tract 4235, Alameda County, California",6,1,423500,3149,1487,1385,412,973
6001423601,"Census Tract 4236.01, Alameda County, California","Census Tract 4236.01, Alameda County, California",6,1,423601,2650,1327,1235,499,736
6001423602,"Census Tract 4236.02, Alameda County, California","Census Tract 4236.02, Alameda County, California",6,1,423602,5559,2638,2406,285,2121
6001423700,"Census Tract 4237, Alameda County, California","Census Tract 4237, Alameda County, California",6,1,423700,3873,1486,1350,503,847
6001423800,"Census Tract 4238, Alameda County, California","Census Tract 4238, Alameda County, California",6,1,423800,3197,1398,1285,1036,249
6001423901,"Census Tract 4239.01, Alameda County, California","Census Tract 4239.01, Alameda County, California",6,1,423901,1945,909,869,371,498
6001423902,"Census Tract 4239.02, Alameda County, California","Census Tract 4239.02, Alameda County, California",6,1,423902,1381,773,672,196,476
6001424001,"Census Tract 4240.01, Alameda County, California","Census Tract 4240.01, Alameda County, California",6,1,424001,3813,1626,1450,336,1114
6001424002,"Census Tract 4240.02, Alameda County, California","Census Tract 4240.02, Alameda County, California",6,1,424002,2240,1040,969,373,596
6001425101,"Census Tract 4251.01, Alameda County, California","Census Tract 4251.01, Alameda County, California",6,1,425101,1558,1256,1147,681,466
6001425102,"Census Tract 4251.02, Alameda County, California","Census Tract 4251.02, Alameda County, California",6,1,425102,2730,1942,1654,453,1201
6001425103,"Census Tract 4251.03, Alameda County, California","Census Tract 4251.03, Alameda County, California",6,1,425103,2706,1471,1277,461,816
6001425104,"Census Tract 4251.04, Alameda County, California","Census Tract 4251.04, Alameda County, California",6,1,425104,3212,1922,1812,505,1307
6001426100,"Census Tract 4261, Alameda County, California","Census Tract 4261, Alameda County, California",6,1,426100,6142,2153,2018,1883,135
6001426200,"Census Tract 4262, Alameda County, California","Census Tract 4262, Alameda County, California",6,1,426200,4710,1690,1604,1308,296
6001427100,"Census Tract 4271, Alameda County, California","Census Tract 4271, Alameda County, California",6,1,427100,3574,1479,1357,918,439
6001427200,"Census Tract 4272, Alameda County, California","Census Tract 4272, Alameda County, California",6,1,427200,4614,1706,1613,604,1009
6001427300,"Census Tract 4273, Alameda County, California","Census Tract 4273, Alameda County, California",6,1,427300,4448,2018,1788,796,992
6001427600,"Census Tract 4276, Alameda County, California","Census Tract 4276, Alameda County, California",6,1,427600,5323,1854,1722,285,1437
6001427700,"Census Tract 4277, Alameda County, California","Census Tract 4277, Alameda County, California",6,1,427700,4760,2439,2251,834,1417
6001427800,"Census Tract 4278, Alameda County, California","Census Tract 4278, Alameda County, California",6,1,427800,5100,2157,2013,774,1239
6001427900,"Census Tract 4279, Alameda County, California","Census Tract 4279, Alameda County, California",6,1,427900,4581,2272,2144,840,1304
6001428000,"Census Tract 4280, Alameda County, California","Census Tract 4280, Alameda County, California",6,1,428000,3534,1426,1367,269,1098
6001428100,"Census Tract 4281, Alameda County, California","Census Tract 4281, Alameda County, California",6,1,428100,4704,2039,1941,984,957
6001428200,"Census Tract 4282, Alameda County, California","Census Tract 4282, Alameda County, California",6,1,428200,6424,2718,2634,1415,1219
6001428301,"Census Tract 4283.01, Alameda County, California","Census Tract 4283.01, Alameda County, California",6,1,428301,6182,2558,2452,1979,473
6001428302,"Census Tract 4283.02, Alameda County, California","Census Tract 4283.02, Alameda County, California",6,1,428302,6997,2734,2673,2322,351
6001428400,"Census Tract 4284, Alameda County, California","Census Tract 4284, Alameda County, California",6,1,428400,4506,1994,1763,593,1170
6001428500,"Census Tract 4285, Alameda County, California","Census Tract 4285, Alameda County, California",6,1,428500,3491,1572,1507,485,1022
6001428600,"Census Tract 4286, Alameda County, California","Census Tract 4286, Alameda County, California",6,1,428600,2918,1644,1417,765,652
6001428700,"Census Tract 4287, Alameda County, California","Census Tract 4287, Alameda County, California",6,1,428700,3662,1481,1154,461,693
6001430101,"Census Tract 4301.01, Alameda County, California","Census Tract 4301.01, Alameda County, California",6,1,430101,6797,2288,2237,1873,364
6001430102,"Census Tract 4301.02, Alameda County, California","Census Tract 4301.02, Alameda County, California",6,1,430102,2058,889,849,792,57
6001430200,"Census Tract 4302, Alameda County, California","Census Tract 4302, Alameda County, California",6,1,430200,6905,2447,2382,2190,192
6001430300,"Census Tract 4303, Alameda County, California","Census Tract 4303, Alameda County, California",6,1,430300,3621,1341,1240,1002,238
6001430400,"Census Tract 4304, Alameda County, California","Census Tract 4304, Alameda County, California",6,1,430400,2030,760,755,662,93
6001430500,"Census Tract 4305, Alameda County, California","Census Tract 4305, Alameda County, California",6,1,430500,6015,2141,1938,1072,866
6001430600,"Census Tract 4306, Alameda County, California","Census Tract 4306, Alameda County, California",6,1,430600,5336,2186,2094,1818,276
6001430700,"Census Tract 4307, Alameda County, California","Census Tract 4307, Alameda County, California",6,1,430700,3693,1357,1273,925,348
6001430800,"Census Tract 4308, Alameda County, California","Census Tract 4308, Alameda County, California",6,1,430800,5762,2201,2076,1324,752
6001430900,"Census Tract 4309, Alameda County, California","Census Tract 4309, Alameda County, California",6,1,430900,4524,1883,1769,368,1401
6001431000,"Census Tract 4310, Alameda County, California","Census Tract 4310, Alameda County, California",6,1,431000,2787,1174,1106,332,774
6001431100,"Census Tract 4311, Alameda County, California","Census Tract 4311, Alameda County, California",6,1,431100,3358,1366,1340,324,1016
6001431200,"Census Tract 4312, Alameda County, California","Census Tract 4312, Alameda County, California",6,1,431200,5321,2669,2460,1323,1137
6001432100,"Census Tract 4321, Alameda County, California","Census Tract 4321, Alameda County, California",6,1,432100,3765,1450,1450,1120,330
6001432200,"Census Tract 4322, Alameda County, California","Census Tract 4322, Alameda County, California",6,1,432200,3748,1742,1618,755,863
6001432300,"Census Tract 4323, Alameda County, California","Census Tract 4323, Alameda County, California",6,1,432300,4346,1714,1627,1066,561
6001432400,"Census Tract 4324, Alameda County, California","Census Tract 4324, Alameda County, California",6,1,432400,5644,1837,1763,759,1004
6001432501,"Census Tract 4325.01, Alameda County, California","Census Tract 4325.01, Alameda County, California",6,1,432501,4786,1497,1474,888,586
6001432502,"Census Tract 4325.02, Alameda County, California","Census Tract 4325.02, Alameda County, California",6,1,432502,4400,1473,1473,716,757
6001432600,"Census Tract 4326, Alameda County, California","Census Tract 4326, Alameda County, California",6,1,432600,6955,2950,2784,871,1913
6001432700,"Census Tract 4327, Alameda County, California","Census Tract 4327, Alameda County, California",6,1,432700,2386,1046,959,652,307
6001432800,"Census Tract 4328, Alameda County, California","Census Tract 4328, Alameda County, California",6,1,432800,3134,1480,1394,1056,338
6001433000,"Census Tract 4330, Alameda County, California","Census Tract 4330, Alameda County, California",6,1,433000,3626,1446,1260,940,320
6001433102,"Census Tract 4331.02, Alameda County, California","Census Tract 4331.02, Alameda County, California",6,1,433102,4186,1383,1340,830,510
6001433103,"Census Tract 4331.03, Alameda County, California","Census Tract 4331.03, Alameda County, California",6,1,433103,4367,1541,1529,202,1327
6001433104,"Census Tract 4331.04, Alameda County, California","Census Tract 4331.04, Alameda County, California",6,1,433104,4026,1857,1848,499,1349
6001433200,"Census Tract 4332, Alameda County, California","Census Tract 4332, Alameda County, California",6,1,433200,7179,2757,2649,1049,1600
6001433300,"Census Tract 4333, Alameda County, California","Census Tract 4333, Alameda County, California",6,1,433300,6743,2196,2156,1752,404
6001433400,"Census Tract 4334, Alameda County, California","Census Tract 4334, Alameda County, California",6,1,433400,6452,2340,2295,1882,413
6001433500,"Census Tract 4335, Alameda County, California","Census Tract 4335, Alameda County, California",6,1,433500,4929,1404,1373,1163,210
6001433600,"Census Tract 4336, Alameda County, California","Census Tract 4336, Alameda County, California",6,1,433600,6203,2147,2136,1106,1030
6001433700,"Census Tract 4337, Alameda County, California","Census Tract 4337, Alameda County, California",6,1,433700,3134,1032,987,353,634
6001433800,"Census Tract 4338, Alameda County, California","Census Tract 4338, Alameda County, California",6,1,433800,8321,2593,2501,1068,1433
6001433900,"Census Tract 4339, Alameda County, California","Census Tract 4339, Alameda County, California",6,1,433900,6590,2394,2249,613,1636
6001434000,"Census Tract 4340, Alameda County, California","Census Tract 4340, Alameda County, California",6,1,434000,5104,1838,1662,504,1158
6001435102,"Census Tract 4351.02, Alameda County, California","Census Tract 4351.02, Alameda County, California",6,1,435102,4647,1593,1461,1082,379
6001435103,"Census Tract 4351.03, Alameda County, California","Census Tract 4351.03, Alameda County, California",6,1,435103,6309,2170,2100,1913,187
6001435104,"Census Tract 4351.04, Alameda County, California","Census Tract 4351.04, Alameda County, California",6,1,435104,5628,2081,1983,482,1501
6001435200,"Census Tract 4352, Alameda County, California","Census Tract 4352, Alameda County, California",6,1,435200,4438,1453,1400,1106,294
6001435300,"Census Tract 4353, Alameda County, California","Census Tract 4353, Alameda County, California",6,1,435300,4336,1735,1536,615,921
6001435400,"Census Tract 4354, Alameda County, California","Census Tract 4354, Alameda County, California",6,1,435400,4196,2127,1825,505,1320
6001435500,"Census Tract 4355, Alameda County, California","Census Tract 4355, Alameda County, California",6,1,435500,3365,1472,1257,409,848
6001435601,"Census Tract 4356.01, Alameda County, California","Census Tract 4356.01, Alameda County, California",6,1,435601,5696,1672,1589,431,1158
6001435602,"Census Tract 4356.02, Alameda County, California","Census Tract 4356.02, Alameda County, California",6,1,435602,4881,1605,1419,664,755
6001435700,"Census Tract 4357, Alameda County, California","Census Tract 4357, Alameda County, California",6,1,435700,4479,1487,1431,1022,409
6001435800,"Census Tract 4358, Alameda County, California","Census Tract 4358, Alameda County, California",6,1,435800,5261,1662,1623,1197,426
6001435900,"Census Tract 4359, Alameda County, California","Census Tract 4359, Alameda County, California",6,1,435900,5358,1682,1650,1289,361
6001436000,"Census Tract 4360, Alameda County, California","Census Tract 4360, Alameda County, California",6,1,436000,4504,1467,1363,1102,261
6001436100,"Census Tract 4361, Alameda County, California","Census Tract 4361, Alameda County, California",6,1,436100,5483,1793,1793,1037,756
6001436200,"Census Tract 4362, Alameda County, California","Census Tract 4362, Alameda County, California",6,1,436200,3838,1264,1230,194,1036
6001436300,"Census Tract 4363, Alameda County, California","Census Tract 4363, Alameda County, California",6,1,436300,6841,2257,2181,851,1330
6001436401,"Census Tract 4364.01, Alameda County, California","Census Tract 4364.01, Alameda County, California",6,1,436401,8090,3115,2800,1461,1339
6001436402,"Census Tract 4364.02, Alameda County, California","Census Tract 4364.02, Alameda County, California",6,1,436402,3117,1050,1014,909,105
6001436500,"Census Tract 4365, Alameda County, California","Census Tract 4365, Alameda County, California",6,1,436500,4672,1818,1761,412,1349
6001436601,"Census Tract 4366.01, Alameda County, California","Census Tract 4366.01, Alameda County, California",6,1,436601,6469,1858,1783,728,1055
6001436602,"Census Tract 4366.02, Alameda County, California","Census Tract 4366.02, Alameda County, California",6,1,436602,4967,1709,1659,435,1224
