FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6065041909,"Census Tract 419.09, Riverside County, California","Census Tract 419.09, Riverside County, California",6,65,41909,5155,1424,1350,1054,296
6065041910,"Census Tract 419.10, Riverside County, California","Census Tract 419.10, Riverside County, California",6,65,41910,6149,2346,2176,1784,392
6065041911,"Census Tract 419.11, Riverside County, California","Census Tract 419.11, Riverside County, California",6,65,41911,11312,3699,3489,3088,401
6065041912,"Census Tract 419.12, Riverside County, California","Census Tract 419.12, Riverside County, California",6,65,41912,5768,1791,1731,1483,248
6065041913,"Census Tract 419.13, Riverside County, California","Census Tract 419.13, Riverside County, California",6,65,41913,5513,2040,1903,1390,513
6065042003,"Census Tract 420.03, Riverside County, California","Census Tract 420.03, Riverside County, California",6,65,42003,6113,1693,1642,1474,168
6065042004,"Census Tract 420.04, Riverside County, California","Census Tract 420.04, Riverside County, California",6,65,42004,4115,1068,1015,936,79
6065042005,"Census Tract 420.05, Riverside County, California","Census Tract 420.05, Riverside County, California",6,65,42005,5211,1522,1426,1282,144
6065042007,"Census Tract 420.07, Riverside County, California","Census Tract 420.07, Riverside County, California",6,65,42007,4215,1564,1345,1142,203
6065042008,"Census Tract 420.08, Riverside County, California","Census Tract 420.08, Riverside County, California",6,65,42008,6907,2230,2049,1931,118
6065042009,"Census Tract 420.09, Riverside County, California","Census Tract 420.09, Riverside County, California",6,65,42009,7868,1908,1736,1311,425
6065042010,"Census Tract 420.10, Riverside County, California","Census Tract 420.10, Riverside County, California",6,65,42010,6219,1587,1476,932,544
6065042012,"Census Tract 420.12, Riverside County, California","Census Tract 420.12, Riverside County, California",6,65,42012,6614,2159,2023,1215,808
6065042013,"Census Tract 420.13, Riverside County, California","Census Tract 420.13, Riverside County, California",6,65,42013,8579,2418,2341,2140,201
6065042014,"Census Tract 420.14, Riverside County, California","Census Tract 420.14, Riverside County, California",6,65,42014,10206,2902,2752,2210,542
6065042206,"Census Tract 422.06, Riverside County, California","Census Tract 422.06, Riverside County, California",6,65,42206,5238,2810,2093,655,1438
6065042207,"Census Tract 422.07, Riverside County, California","Census Tract 422.07, Riverside County, California",6,65,42207,2929,1249,1162,745,417
6065042208,"Census Tract 422.08, Riverside County, California","Census Tract 422.08, Riverside County, California",6,65,42208,2588,950,927,841,86
6065042209,"Census Tract 422.09, Riverside County, California","Census Tract 422.09, Riverside County, California",6,65,42209,3811,1513,1206,379,827
6065042210,"Census Tract 422.10, Riverside County, California","Census Tract 422.10, Riverside County, California",6,65,42210,4189,2016,1564,147,1417
6065042212,"Census Tract 422.12, Riverside County, California","Census Tract 422.12, Riverside County, California",6,65,42212,6410,2090,1863,1134,729
6065042213,"Census Tract 422.13, Riverside County, California","Census Tract 422.13, Riverside County, California",6,65,42213,4204,1612,1454,763,691
6065042214,"Census Tract 422.14, Riverside County, California","Census Tract 422.14, Riverside County, California",6,65,42214,6301,1903,1826,1453,373
6065042217,"Census Tract 422.17, Riverside County, California","Census Tract 422.17, Riverside County, California",6,65,42217,5108,2147,1993,1436,557
6065042300,"Census Tract 423, Riverside County, California","Census Tract 423, Riverside County, California",6,65,42300,7328,2234,2031,1153,878
6065042401,"Census Tract 424.01, Riverside County, California","Census Tract 424.01, Riverside County, California",6,65,42401,1928,616,557,493,64
6065042402,"Census Tract 424.02, Riverside County, California","Census Tract 424.02, Riverside County, California",6,65,42402,5052,1333,1281,1039,242
6065042403,"Census Tract 424.03, Riverside County, California","Census Tract 424.03, Riverside County, California",6,65,42403,4454,1187,1127,947,180
6065042404,"Census Tract 424.04, Riverside County, California","Census Tract 424.04, Riverside County, California",6,65,42404,2360,595,595,438,157
6065042405,"Census Tract 424.05, Riverside County, California","Census Tract 424.05, Riverside County, California",6,65,42405,5264,1928,1730,251,1479
6065042406,"Census Tract 424.06, Riverside County, California","Census Tract 424.06, Riverside County, California",6,65,42406,4020,1308,1229,965,264
6065042407,"Census Tract 424.07, Riverside County, California","Census Tract 424.07, Riverside County, California",6,65,42407,3473,916,824,593,231
6065042408,"Census Tract 424.08, Riverside County, California","Census Tract 424.08, Riverside County, California",6,65,42408,3030,890,803,585,218
6065042409,"Census Tract 424.09, Riverside County, California","Census Tract 424.09, Riverside County, California",6,65,42409,3204,981,936,631,305
6065042410,"Census Tract 424.10, Riverside County, California","Census Tract 424.10, Riverside County, California",6,65,42410,4838,1409,1349,1107,242
6065042411,"Census Tract 424.11, Riverside County, California","Census Tract 424.11, Riverside County, California",6,65,42411,2657,789,725,551,174
6065042412,"Census Tract 424.12, Riverside County, California","Census Tract 424.12, Riverside County, California",6,65,42412,5487,1592,1532,1351,181
6065042505,"Census Tract 425.05, Riverside County, California","Census Tract 425.05, Riverside County, California",6,65,42505,3846,929,875,259,616
6065042506,"Census Tract 425.06, Riverside County, California","Census Tract 425.06, Riverside County, California",6,65,42506,9576,2965,2810,949,1861
6065042507,"Census Tract 425.07, Riverside County, California","Census Tract 425.07, Riverside County, California",6,65,42507,5025,1193,1073,763,310
6065042508,"Census Tract 425.08, Riverside County, California","Census Tract 425.08, Riverside County, California",6,65,42508,4455,1301,1151,695,456
6065042509,"Census Tract 425.09, Riverside County, California","Census Tract 425.09, Riverside County, California",6,65,42509,2870,868,748,561,187
6065042510,"Census Tract 425.10, Riverside County, California","Census Tract 425.10, Riverside County, California",6,65,42510,5236,1237,1177,767,410
6065042511,"Census Tract 425.11, Riverside County, California","Census Tract 425.11, Riverside County, California",6,65,42511,3738,912,887,484,403
6065042512,"Census Tract 425.12, Riverside County, California","Census Tract 425.12, Riverside County, California",6,65,42512,3396,975,911,290,621
6065042513,"Census Tract 425.13, Riverside County, California","Census Tract 425.13, Riverside County, California",6,65,42513,3179,819,761,588,173
6065042514,"Census Tract 425.14, Riverside County, California","Census Tract 425.14, Riverside County, California",6,65,42514,2965,881,803,367,436
6065042515,"Census Tract 425.15, Riverside County, California","Census Tract 425.15, Riverside County, California",6,65,42515,3927,1080,1024,125,899
6065042516,"Census Tract 425.16, Riverside County, California","Census Tract 425.16, Riverside County, California",6,65,42516,4142,1037,989,421,568
6065042517,"Census Tract 425.17, Riverside County, California","Census Tract 425.17, Riverside County, California",6,65,42517,3454,871,816,578,238
6065042518,"Census Tract 425.18, Riverside County, California","Census Tract 425.18, Riverside County, California",6,65,42518,4135,1019,959,535,424
6065042519,"Census Tract 425.19, Riverside County, California","Census Tract 425.19, Riverside County, California",6,65,42519,1538,532,517,131,386
6065042520,"Census Tract 425.20, Riverside County, California","Census Tract 425.20, Riverside County, California",6,65,42520,4710,1349,1300,544,756
6065042521,"Census Tract 425.21, Riverside County, California","Census Tract 425.21, Riverside County, California",6,65,42521,4626,1246,1121,719,402
6065042617,"Census Tract 426.17, Riverside County, California","Census Tract 426.17, Riverside County, California",6,65,42617,12026,2806,2650,1539,1111
6065042618,"Census Tract 426.18, Riverside County, California","Census Tract 426.18, Riverside County, California",6,65,42618,8776,1957,1869,1411,458
6065042619,"Census Tract 426.19, Riverside County, California","Census Tract 426.19, Riverside County, California",6,65,42619,11072,2862,2509,1825,684
6065042620,"Census Tract 426.20, Riverside County, California","Census Tract 426.20, Riverside County, California",6,65,42620,11015,2774,2578,2078,500
6065042621,"Census Tract 426.21, Riverside County, California","Census Tract 426.21, Riverside County, California",6,65,42621,6607,1792,1714,1183,531
6065042622,"Census Tract 426.22, Riverside County, California","Census Tract 426.22, Riverside County, California",6,65,42622,4422,1362,1200,633,567
6065042623,"Census Tract 426.23, Riverside County, California","Census Tract 426.23, Riverside County, California",6,65,42623,3804,1309,1142,724,418
6065042624,"Census Tract 426.24, Riverside County, California","Census Tract 426.24, Riverside County, California",6,65,42624,3995,1073,988,786,202
6065042706,"Census Tract 427.06, Riverside County, California","Census Tract 427.06, Riverside County, California",6,65,42706,8703,1968,1824,1031,793
6065042708,"Census Tract 427.08, Riverside County, California","Census Tract 427.08, Riverside County, California",6,65,42708,4853,1477,1393,1092,301
6065042709,"Census Tract 427.09, Riverside County, California","Census Tract 427.09, Riverside County, California",6,65,42709,4891,2240,1958,1614,344
6065042711,"Census Tract 427.11, Riverside County, California","Census Tract 427.11, Riverside County, California",6,65,42711,4645,2896,2606,1789,817
6065042714,"Census Tract 427.14, Riverside County, California","Census Tract 427.14, Riverside County, California",6,65,42714,3480,1373,1242,969,273
6065042715,"Census Tract 427.15, Riverside County, California","Census Tract 427.15, Riverside County, California",6,65,42715,14177,4407,3893,2611,1282
6065042716,"Census Tract 427.16, Riverside County, California","Census Tract 427.16, Riverside County, California",6,65,42716,5102,2078,1762,1333,429
6065042717,"Census Tract 427.17, Riverside County, California","Census Tract 427.17, Riverside County, California",6,65,42717,4835,1579,1463,1133,330
6065042719,"Census Tract 427.19, Riverside County, California","Census Tract 427.19, Riverside County, California",6,65,42719,5151,1597,1495,831,664
6065042720,"Census Tract 427.20, Riverside County, California","Census Tract 427.20, Riverside County, California",6,65,42720,4537,1556,1317,863,454
6065042723,"Census Tract 427.23, Riverside County, California","Census Tract 427.23, Riverside County, California",6,65,42723,5623,2179,1854,1210,644
6065042724,"Census Tract 427.24, Riverside County, California","Census Tract 427.24, Riverside County, California",6,65,42724,3219,975,837,702,135
6065042726,"Census Tract 427.26, Riverside County, California","Census Tract 427.26, Riverside County, California",6,65,42726,5721,1751,1672,1439,233
6065042728,"Census Tract 427.28, Riverside County, California","Census Tract 427.28, Riverside County, California",6,65,42728,2230,768,651,564,87
6065042729,"Census Tract 427.29, Riverside County, California","Census Tract 427.29, Riverside County, California",6,65,42729,9980,4270,3861,2605,1256
6065042730,"Census Tract 427.30, Riverside County, California","Census Tract 427.30, Riverside County, California",6,65,42730,5160,1481,1261,950,311
6065042731,"Census Tract 427.31, Riverside County, California","Census Tract 427.31, Riverside County, California",6,65,42731,5528,1851,1683,1373,310
6065042732,"Census Tract 427.32, Riverside County, California","Census Tract 427.32, Riverside County, California",6,65,42732,5901,1733,1701,1463,238
6065042733,"Census Tract 427.33, Riverside County, California","Census Tract 427.33, Riverside County, California",6,65,42733,4596,1523,1356,1131,225
6065042737,"Census Tract 427.37, Riverside County, California","Census Tract 427.37, Riverside County, California",6,65,42737,2381,760,688,605,83
6065042738,"Census Tract 427.38, Riverside County, California","Census Tract 427.38, Riverside County, California",6,65,42738,6413,2094,1877,1064,813
6065042739,"Census Tract 427.39, Riverside County, California","Census Tract 427.39, Riverside County, California",6,65,42739,7561,2045,1897,1561,336
6065042740,"Census Tract 427.40, Riverside County, California","Census Tract 427.40, Riverside County, California",6,65,42740,2026,1265,1226,1060,166
6065042741,"Census Tract 427.41, Riverside County, California","Census Tract 427.41, Riverside County, California",6,65,42741,2139,1544,1419,1063,356
6065042742,"Census Tract 427.42, Riverside County, California","Census Tract 427.42, Riverside County, California",6,65,42742,4620,1330,1252,937,315
6065042743,"Census Tract 427.43, Riverside County, California","Census Tract 427.43, Riverside County, California",6,65,42743,1910,628,529,428,101
6065042744,"Census Tract 427.44, Riverside County, California","Census Tract 427.44, Riverside County, California",6,65,42744,3268,960,835,653,182
6065042745,"Census Tract 427.45, Riverside County, California","Census Tract 427.45, Riverside County, California",6,65,42745,5498,2190,2085,1683,402
6065042800,"Census Tract 428, Riverside County, California","Census Tract 428, Riverside County, California",6,65,42800,9124,2530,2360,909,1451
6065042901,"Census Tract 429.01, Riverside County, California","Census Tract 429.01, Riverside County, California",6,65,42901,7686,1935,1833,1262,571
6065042902,"Census Tract 429.02, Riverside County, California","Census Tract 429.02, Riverside County, California",6,65,42902,4551,1470,1273,877,396
6065042903,"Census Tract 429.03, Riverside County, California","Census Tract 429.03, Riverside County, California",6,65,42903,5457,1556,1383,950,433
6065042904,"Census Tract 429.04, Riverside County, California","Census Tract 429.04, Riverside County, California",6,65,42904,8537,2217,2079,1163,916
6065043001,"Census Tract 430.01, Riverside County, California","Census Tract 430.01, Riverside County, California",6,65,43001,5129,1691,1459,660,799
6065043003,"Census Tract 430.03, Riverside County, California","Census Tract 430.03, Riverside County, California",6,65,43003,6178,1906,1675,718,957
6065043005,"Census Tract 430.05, Riverside County, California","Census Tract 430.05, Riverside County, California",6,65,43005,5469,1574,1409,974,435
6065043006,"Census Tract 430.06, Riverside County, California","Census Tract 430.06, Riverside County, California",6,65,43006,5147,1429,1306,488,818
6065043007,"Census Tract 430.07, Riverside County, California","Census Tract 430.07, Riverside County, California",6,65,43007,6885,2129,1999,1778,221
6065043008,"Census Tract 430.08, Riverside County, California","Census Tract 430.08, Riverside County, California",6,65,43008,6054,1786,1692,1268,424
6065043009,"Census Tract 430.09, Riverside County, California","Census Tract 430.09, Riverside County, California",6,65,43009,4948,1382,1296,1083,213
6065043010,"Census Tract 430.10, Riverside County, California","Census Tract 430.10, Riverside County, California",6,65,43010,6001,1605,1508,1223,285
